altitude,vs,cas,tas,aoa,cl,cd,drag,lift,mass,thrust
0.0,0.0,160.88738677941916,160.88738676212392,0.05,0.1737198,0.0339416,24915.05684736963,218932.621439573,59952.81006202439,186915.59715566758
0.0,0.0,160.9740317501083,160.97403173278542,0.1,0.1767482,0.0338444,24884.10538432436,220579.11237230734,59952.78228352885,186891.99938033687
0.0,0.0,161.0602327436777,161.06023272632797,0.15000000000000002,0.1797766,0.0337472,24852.960551698376,222228.50273640742,59952.75450836954,186868.5280490986
0.0,0.0,161.14599158506977,161.14599156769123,0.2,0.182805,0.03365,24821.623325624376,223880.7707522242,59952.726736528544,186845.18258203397
0.0,0.0,161.23125730909098,161.2312572916855,0.25,0.18717277777777777,0.033748888888888884,24890.795764009563,226223.72969047775,59952.69896798805,186821.96239885245
0.0,0.0,161.31602606222148,161.31602604478982,0.3,0.192641,0.033876,24974.48849682974,229136.6450007254,59952.67120272829,186798.88120862254
0.0,0.0,161.40032698930153,161.40032697184245,0.35,0.195851,0.033894999999999995,25002.583897109726,230892.77973590186,59952.64344072937,186775.939959382
0.0,0.0,161.4841216791771,161.4841216616914,0.39999999999999997,0.205404,0.034102999999999994,25127.975417467107,235919.5742264211,59952.61568197252,186753.13067142444
0.0,0.0,161.56748045255472,161.56748043504206,0.44999999999999996,0.209964,0.034037,25112.186141418468,238381.09573318364,59952.58792643751,186730.46364515982
0.0,0.0,161.65036412944409,161.6503641119043,0.49999999999999994,0.213292,0.03411,25167.998133090565,240210.95368672838,59952.560174106824,186707.91976940492
0.0,0.0,161.73276935888967,161.73276934132295,0.5499999999999999,0.21364450000000001,0.03417333333333333,25218.798015421547,240506.11503995917,59952.53242496145,186685.50955461597
0.0,0.0,161.81475648176018,161.81475646416857,0.6,0.21700700000000003,0.034054,25175.076991107693,242358.11068426614,59952.504678982266,186663.23381779843
0.0,0.0,161.89630624371173,161.8963062260925,0.65,0.22232666666666667,0.034033,25182.06741085342,245226.57894968503,59952.47693615249,186641.07616439305
0.0,0.0,161.97738949346578,161.9773894758214,0.7000000000000001,0.22666233333333335,0.03411466666666667,25242.165984840234,247590.00347978514,59952.44919645459,186619.04171903184
0.0,0.0,162.05799849044553,162.05799847277524,0.7500000000000001,0.234233,0.034275,25343.07367532505,251635.8402954095,59952.42145986993,186597.13827525545
0.0,0.0,162.13818207872242,162.13818206102553,0.8000000000000002,0.23674800000000001,0.034205,25324.422239649208,253063.069199227,59952.39372637962,186575.36783813924
0.0,0.0,162.21788720371148,162.21788718598845,0.8500000000000002,0.237467,0.034303,25392.95590989757,253558.57996292156,59952.36599596661,186553.7171344314
0.0,0.0,162.29714467250025,162.29714465475138,0.9000000000000002,0.24380300000000002,0.034381999999999996,25451.60582937366,256977.26183294907,59952.338268611864,186532.20040799354
0.0,0.0,162.37594912328467,162.3759491055108,0.9500000000000003,0.25266999999999995,0.034534333333333334,25548.446333292006,261720.19342177574,59952.310544297514,186510.8092591598
0.0,0.0,162.45430347365414,162.454303455855,1.0000000000000002,0.250193,0.034495,25545.411164471527,260556.49014011113,59952.28282300551,186489.5450546364
0.0,0.0,162.5322066446053,162.53220662678092,1.0500000000000003,0.2561211818181818,0.03461045454545454,25623.03201366393,263776.46356389474,59952.25510471793,186468.4069269811
0.0,0.0,162.60966190431452,162.60966188646503,1.1000000000000003,0.2620493636363636,0.034725909090909085,25700.676801277114,267001.708352215,59952.22738941681,186447.39508772996
0.0,0.0,162.686670021945,162.68667000407027,1.1500000000000004,0.26517599999999997,0.034794,25753.577825223412,268767.19903206587,59952.19967708433,186426.5085764946
0.0,0.0,162.76323105922785,162.76323104132862,1.2000000000000004,0.2688,0.034879,25815.30511051679,270795.42334297753,59952.171967702714,186405.74710776572
0.0,0.0,162.83934460646597,162.83934458854256,1.2500000000000004,0.272927,0.034984,25887.50233627586,273090.0436961175,59952.144261254194,186385.11058732582
0.0,0.0,162.9150146146221,162.9150145966725,1.3000000000000005,0.27679666666666664,0.03507766666666667,25953.7668702214,275253.0519770033,59952.116557721,186364.5990484523
0.0,0.0,162.99024014838668,162.99024013041245,1.3500000000000005,0.281275,0.035197,26033.50281082362,277738.59567756666,59952.08885708551,186344.2113500157
0.0,0.0,163.0650248491306,163.06502483113343,1.4000000000000006,0.28593399999999997,0.035317,26113.61214700913,280322.66835472465,59952.0611593301,186323.94766831762
0.0,0.0,163.13936856639944,163.13936854837743,1.4500000000000006,0.289568,0.035420999999999994,26185.3313851172,282371.4989929315,59952.03346443729,186303.80694744896
0.0,0.0,163.21328058114906,163.21328056310242,1.5000000000000007,0.29346999999999995,0.035507,26247.583724120228,284564.121922857,59952.005772389595,186283.78915364094
0.0,0.0,163.28673903614515,163.28673901807457,1.5500000000000007,0.298187,0.035699999999999996,26366.195697480227,287189.07317773975,59951.9780831699,186263.89171481255
0.0,0.0,163.35976316775327,163.35976314965836,1.6000000000000008,0.30168999999999996,0.035801,26436.384361201825,289177.5810292064,59951.95039676028,186244.12044132478
0.0,0.0,163.43235722727297,163.4323572091541,1.6500000000000008,0.30604299999999995,0.035919,26515.547582495496,291617.2123331044,59951.922713143525,186224.47008224795
0.0,0.0,163.5045242813922,163.50452426325057,1.7000000000000008,0.30986749999999996,0.036019499999999996,26585.485624418154,293780.98655846756,59951.89503230262,186204.93942247354
0.0,0.0,163.57626341723417,163.57626339906852,1.7500000000000009,0.313532,0.03612633333333333,26658.774126171375,295862.9579656766,59951.86735422068,186185.52756685045
