Mach,Thrust
0.295,33838
0.296,33709
0.297,33612
0.298,33560
0.299,33501
0.3,33455
0.301,33410
0.302,33384
0.303,33358
0.304,33342
0.305,33324
0.306,33311
0.307,33303
0.308,33293
0.309,33288
0.31,33282
0.311,33276
0.312,33268
0.313,32856
0.314,32820
0.315,32791
0.316,32771
0.317,32751
0.318,32734
0.319,32718
0.32,32705
0.321,32692
0.322,32677
0.323,32666
0.324,32653
0.325,32642
0.326,32631
0.327,32619
0.328,32606
0.329,32594
0.33,32580
0.331,32568
0.332,32555
0.333,32541
0.334,32528
0.335,32515
0.336,32500
0.337,32486
0.338,32472
0.339,32458
0.34,32442
0.341,32430
0.342,32415
0.343,32402
0.344,32387
0.345,32374
0.346,32362
0.347,32349
0.348,32337
0.349,32324
0.35,32313
0.351,32301
0.352,32291
0.353,32280
0.354,32269
0.355,32260
0.356,32249
0.357,32238
0.358,32227
0.359,32219
0.36,32209
0.361,32198
0.362,32190
0.363,32180
0.364,32170
0.365,32162
0.366,32152
0.367,32143
0.368,32133
0.369,32124
0.37,32117
0.371,32108
0.372,32099
0.373,32092
0.374,32084
0.375,32077
0.376,32069
0.377,32063
0.378,32055
0.379,32048
0.38,32042
0.381,32035
0.382,32028
0.383,32020
0.384,32015
0.385,32008
0.386,32001
0.387,31994
0.388,31987
0.389,31979
0.39,31970
0.391,31965
0.392,31957
0.393,31949
0.394,31939
0.395,31932
0.396,31924
0.397,31916
0.398,31909
0.399,31901
0.4,31893
0.401,31886
0.402,31878
0.403,31872
0.404,31865
0.405,31857
0.406,31850
0.407,31842
0.408,31835
0.409,31828
0.41,31821
0.411,31816
0.412,31809
0.413,31802
0.414,31795
0.415,31789
0.416,31782
0.417,31778
0.418,31771
0.419,31765
0.42,31759
0.421,31754
0.422,31748
0.423,31743
0.424,31737
0.425,31732
0.426,31726
0.427,31722
0.428,31717
0.429,31712
0.43,31707
0.431,31703
0.432,31697
0.433,31693
0.434,31688
0.435,31684
0.436,31680
0.437,31676
0.438,31671
0.439,31667
0.44,31664
0.441,31660
0.442,31656
0.443,31652
0.444,31649
0.445,31646
0.446,31642
0.447,31639
0.448,31636
0.449,31633
0.45,31629
0.451,31627
0.452,31623
0.453,31621
0.454,31618
0.455,31615
0.456,31613
0.457,31611
0.458,31609
0.459,31607
0.46,31605
0.461,31603
0.462,31601
0.463,31599
0.464,31597
0.465,31596
0.466,31595
0.467,31593
0.468,31591
0.469,31589
0.47,31588
0.471,31587
0.472,31585
0.473,31584
0.474,31583
0.475,31582
0.476,31581
0.477,31580
0.478,31579
0.479,31578
0.48,31577
0.481,31576
0.482,31576
0.483,31576
0.484,31576
0.485,31575
0.486,31575
0.487,31575
0.488,31575
0.489,31575
0.49,31576
0.491,31576
0.492,31576
0.493,31577
0.494,31578
0.495,31579
0.496,31579
0.497,31580
0.498,31581
0.499,31583
0.5,31583
0.501,31584
0.502,31585
0.503,31587
0.504,31588
0.505,31590
0.506,31591
0.507,31593
0.508,31595
0.509,31597
0.51,31599
0.511,31601
0.512,31603
0.513,31606
0.514,31608
0.515,31610
0.516,31612
0.517,31614
0.518,31618
0.519,31621
0.52,31624
0.521,31627
0.522,31630
0.523,31634
0.524,31637
0.525,31640
0.526,31643
0.527,31647
0.528,31650
0.529,31655
0.53,31659
0.531,31662
0.532,31666
0.533,31671
0.534,31674
0.535,31679
0.536,31683
0.537,31687
0.538,31691
0.539,31697
0.54,31702
0.541,31706
0.542,31711
0.543,31715
0.544,31720
0.545,31726
0.546,31731
0.547,31736
0.548,31741
0.549,31748
0.55,31753
0.551,31758
0.552,31764
0.553,31769
0.554,31775
0.555,31784
0.556,31790
0.557,31796
0.558,31802
0.559,31808
0.56,31816
0.561,31823
0.562,31828
0.563,31836
0.564,31843
0.565,31850
0.566,31857
0.567,31866
0.568,31873
0.569,31881
0.57,31888
0.571,31896
0.572,31905
0.573,31913
0.574,31921
0.575,31928
0.576,31937
0.577,31945
0.578,31956
0.579,31964
0.58,31972
0.581,31980
0.582,31989
0.583,31997
0.584,32009
0.585,32017
0.586,32026
0.587,32035
0.588,32044
0.589,32054
0.59,32066
0.591,32074
0.592,32083
0.593,32093
0.594,32102
0.595,32114
0.596,32124
0.597,32133
0.598,32143
0.599,32153
0.6,32166
0.601,32176
0.602,32186
0.603,32197
0.604,32211
0.605,32221
0.606,32232
0.607,32242
0.608,32257
0.609,32268
0.61,32279
0.611,32291
0.612,32302
0.613,32317
0.614,32329
0.615,32341
0.616,32352
0.617,32364
0.618,32380
0.619,32391
0.62,32406
0.621,32416
0.622,32433
0.623,32445
0.624,32457
0.625,32470
0.626,32486
0.627,32498
0.628,32511
0.629,32524
0.63,32540
0.631,32553
0.632,32567
0.633,32580
0.634,32598
0.635,32611
0.636,32624
0.637,32639
0.638,32653
0.639,32671
0.64,32687
0.641,32700
0.642,32715
0.643,32729
0.644,32749
0.645,32763
0.646,32779
0.647,32794
0.648,32810
0.649,32825
0.65,32841
0.651,32857
0.652,32871
0.653,32889
0.654,32904
0.655,32920
0.656,32935
0.657,32956
0.658,32972
0.659,32987
0.66,33010
0.661,33028
0.662,33044
0.663,33066
0.664,33084
0.665,33100
0.666,33122
0.667,33139
0.668,33157
0.669,33182
0.67,33197
0.671,33214
0.672,33237
0.673,33254
0.674,33271
0.675,33295
0.676,33312
0.677,33329
0.678,33354
0.679,33372
0.68,33389
0.681,33413
0.682,33434
0.683,33452
0.684,33471
0.685,33495
0.686,33514
0.687,33533
0.688,33558
0.689,33578
0.69,33597
0.691,33618
0.692,33639
0.693,33665
0.694,33684
0.695,33703
0.696,33730
0.697,33750
0.698,33777
0.699,33797
0.7,33818
0.701,33839
0.702,33866
0.703,33886
0.704,33914
0.705,33936
0.706,33957
0.707,33985
0.708,34007
0.709,34027
0.71,34054
0.711,34077
0.712,34098
0.713,34120
0.714,34149
0.715,34172
0.716,34195
0.717,34218
0.718,34249
0.719,34271
0.72,34293
0.721,34325
0.722,34348
0.723,34372
0.724,34404
0.725,34425
0.726,34457
0.727,34481
0.728,34504
0.729,34534
0.73,34558
0.731,34591
0.732,34614
0.733,34646
0.734,34669
0.735,34703
0.736,34725
0.737,34759
0.738,34783
0.739,34807
0.74,34841
0.741,34865
0.742,34891
0.743,34924
0.744,34948
0.745,34981
0.746,35014
0.747,35038
0.748,35073
0.749,35098
0.75,35131
0.751,35158
0.752,35194
0.753,35218
0.754,35254
0.755,35280
0.756,35315
0.757,35351
0.758,35379
0.759,35406
0.76,35441
0.761,35469
0.762,35505
0.763,35534
0.764,35559
0.765,35595
0.766,35620
0.767,35656
0.768,35682
0.769,35717
0.77,35746
0.771,35776
0.772,35805
0.773,35839
0.774,35876
0.775,35904
0.776,35934
0.777,35974
0.778,36001
0.779,36037
0.78,36077
0.781,36103
0.782,36141
0.783,36171
0.784,36210
0.785,36240
0.786,36278
0.787,36309
0.788,36345
0.789,36385
0.79,36415
0.791,36449
0.792,36489
0.793,36527
0.794,36567
0.795,36596
0.796,36638
0.797,36667
0.798,36706
0.799,36744
0.8,36779
0.801,36821
0.802,36860
0.803,36900
0.804,36938
0.805,36976
0.806,37017
0.807,37048
0.808,37087
0.809,37128
0.81,37167
0.811,37208
0.812,37248
0.813,37290
0.814,37329
0.815,37370
0.816,37413
0.817,37454
0.818,37495
0.819,37538
0.82,37581
0.821,37622
0.822,37662
0.823,37715
0.824,37754
0.825,37795
0.826,37846
0.827,37888
0.828,37931
0.829,37982
0.83,38023
0.831,38072
0.832,38112
0.833,38161
0.834,38209
0.835,38258
0.836,38294
0.837,38337
0.838,38384
0.839,38425
0.84,38470
0.841,38516
0.842,38560
0.843,38602
0.844,38646
0.845,38688
0.846,38740
0.847,38784
0.848,38827
0.849,38877
0.85,38920
0.851,38970
0.852,39021
0.853,39067
0.854,39114
0.855,39163
