Mach,Thrust
0.856,39210
0.857,39256
0.858,39305
0.859,39352
0.86,39400
0.861,39447
0.862,39490
0.863,39540
0.864,39585
0.865,39631
0.866,39677
0.867,39729
0.868,39776
0.869,39819
0.87,39866
0.871,39911
0.872,39957
0.873,40008
0.874,40050
0.875,40100
0.876,40158
0.877,40214
0.878,40267
0.879,40323
0.88,40376
0.881,40436
0.882,40494
0.883,40551
0.884,40606
0.885,40666
0.886,40724
0.887,40797
0.888,40856
0.889,40912
0.89,40976
0.891,41032
0.892,41093
0.893,41164
0.894,41222
0.895,41282
0.896,41355
0.897,41414
0.898,41477
0.899,41535
0.9,41583
0.901,41608
0.902,41633
0.903,41662
0.904,41689
0.905,41716
0.906,41742
0.907,41772
0.908,41790
0.909,41810
0.91,41825
0.911,41844
0.912,41860
0.913,41857
0.914,41897
