Mach,Thrust
0.266,53154
0.267,53061
0.268,53007
0.269,52953
0.27,52908
0.271,52875
0.272,52841
0.273,52808
0.274,52786
0.275,52754
0.276,52733
0.277,52703
0.278,52684
0.279,52657
0.28,52639
0.281,52623
0.282,52600
0.283,52584
0.284,52569
0.285,52551
0.286,52539
0.287,52522
0.288,52509
0.289,52501
0.29,52487
0.291,52479
0.292,52471
0.293,52464
0.294,52454
0.295,52446
0.296,52437
0.297,52430
0.298,52424
0.299,52418
0.3,52413
0.301,52409
0.302,52406
0.303,52404
0.304,52396
0.305,52385
0.306,52365
0.307,52334
0.308,52299
0.309,52268
0.31,52236
0.311,52207
0.312,52180
0.313,52153
0.314,52126
0.315,52103
0.316,52080
0.317,52057
0.318,52035
0.319,52013
0.32,51992
0.321,51972
0.322,51954
0.323,51934
0.324,51915
0.325,51895
0.326,51875
0.327,51856
0.328,51839
0.329,51820
0.33,51801
0.331,51783
0.332,51764
0.333,51748
0.334,51729
0.335,51711
0.336,51691
0.337,51673
0.338,51658
0.339,51639
0.34,51620
0.341,51600
0.342,51583
0.343,51563
0.344,51542
0.345,51525
0.346,51507
0.347,51486
0.348,51468
0.349,51451
0.35,51433
0.351,51416
0.352,51402
0.353,51385
0.354,51368
0.355,51354
0.356,51339
0.357,51324
0.358,51309
0.359,51295
0.36,51280
0.361,51269
0.362,51255
0.363,51245
0.364,51233
0.365,51222
0.366,51210
0.367,51197
0.368,51188
0.369,51177
0.37,51166
0.371,51156
0.372,51144
0.373,51133
0.374,51121
0.375,51110
0.376,51100
0.377,51089
0.378,51079
0.379,51066
0.38,51055
0.381,51044
0.382,51033
0.383,51022
0.384,51008
0.385,50996
0.386,50985
0.387,50974
0.388,50962
0.389,50952
0.39,50940
0.391,50930
0.392,50917
0.393,50907
0.394,50896
0.395,50885
0.396,50874
0.397,50863
0.398,50853
0.399,50843
0.4,50833
0.401,50822
0.402,50815
0.403,50805
0.404,50794
0.405,50786
0.406,50777
0.407,50767
0.408,50758
0.409,50749
0.41,50742
0.411,50734
0.412,50727
0.413,50718
0.414,50709
0.415,50701
0.416,50694
0.417,50686
0.418,50678
0.419,50671
0.42,50664
0.421,50659
0.422,50652
0.423,50645
0.424,50639
0.425,50630
0.426,50627
0.427,50622
0.428,50614
0.429,50609
0.43,50603
0.431,50598
0.432,50592
0.433,50587
0.434,50583
0.435,50578
0.436,50573
0.437,50568
0.438,50565
0.439,50560
0.44,50555
0.441,50550
0.442,50548
0.443,50546
0.444,50542
0.445,50537
0.446,50534
0.447,50531
0.448,50528
0.449,50523
0.45,50520
0.451,50520
0.452,50518
0.453,50515
0.454,50513
0.455,50510
0.456,50508
0.457,50506
0.458,50503
0.459,50504
0.46,50502
0.461,50500
0.462,50499
0.463,50499
0.464,50496
0.465,50496
0.466,50496
0.467,50494
0.468,50497
0.469,50495
0.47,50496
0.471,50494
0.472,50493
0.473,50493
0.474,50494
0.475,50493
0.476,50491
0.477,50492
0.478,50489
0.479,50492
0.48,50490
0.481,50491
0.482,50490
0.483,50488
0.484,50491
0.485,50491
0.486,50491
0.487,50491
0.488,50491
0.489,50493
0.49,50492
0.491,50496
0.492,50500
0.493,50501
0.494,50503
0.495,50507
0.496,50509
0.497,50514
0.498,50517
0.499,50518
0.5,50525
0.501,50529
0.502,50532
0.503,50539
0.504,50542
0.505,50549
0.506,50551
0.507,50561
0.508,50566
0.509,50573
0.51,50578
0.511,50585
0.512,50591
0.513,50597
0.514,50603
0.515,50606
0.516,50616
0.517,50621
0.518,50627
0.519,50634
0.52,50640
0.521,50650
0.522,50657
0.523,50664
0.524,50672
0.525,50680
0.526,50687
0.527,50696
0.528,50705
0.529,50713
0.53,50720
0.531,50725
0.532,50737
0.533,50746
0.534,50756
0.535,50767
0.536,50775
0.537,50787
0.538,50794
0.539,50806
0.54,50813
0.541,50826
0.542,50836
0.543,50842
0.544,50855
0.545,50867
0.546,50878
0.547,50889
0.548,50899
0.549,50910
0.55,50923
0.551,50933
0.552,50947
0.553,50959
0.554,50971
0.555,50979
0.556,50993
0.557,51006
0.558,51021
0.559,51037
0.56,51045
0.561,51059
0.562,51075
0.563,51088
0.564,51102
0.565,51117
0.566,51130
0.567,51147
0.568,51159
0.569,51176
0.57,51188
0.571,51206
0.572,51218
0.573,51237
0.574,51246
0.575,51263
0.576,51278
0.577,51295
0.578,51314
0.579,51327
0.58,51347
0.581,51360
0.582,51378
0.583,51398
0.584,51411
0.585,51425
0.586,51446
0.587,51461
0.588,51482
0.589,51498
0.59,51518
0.591,51537
0.592,51556
0.593,51576
