Mach,Thrust
0.594,51592
0.595,51615
0.596,51629
0.597,51646
0.598,51668
0.599,51689
0.6,51708
0.601,51725
0.602,51749
0.603,51769
0.604,51791
0.605,51814
0.606,51835
0.607,51849
0.608,51873
0.609,51895
0.61,51916
0.611,51937
0.612,51960
0.613,51984
0.614,52007
0.615,52032
0.616,52052
0.617,52074
0.618,52097
0.619,52120
0.62,52145
0.621,52168
0.622,52193
0.623,52215
0.624,52242
0.625,52266
0.626,52290
0.627,52318
0.628,52340
0.629,52368
0.63,52394
0.631,52418
0.632,52445
0.633,52470
0.634,52498
0.635,52516
0.636,52541
0.637,52570
0.638,52594
0.639,52623
0.64,52650
0.641,52678
0.642,52707
0.643,52735
0.644,52762
0.645,52792
0.646,52817
0.647,52848
0.648,52876
0.649,52905
0.65,52932
0.651,52972
0.652,53001
0.653,53020
0.654,53050
0.655,53081
0.656,53110
0.657,53143
0.658,53170
0.659,53204
0.66,53233
0.661,53267
0.662,53297
0.663,53329
0.664,53362
0.665,53394
0.666,53436
0.667,53467
0.668,53500
0.669,53533
0.67,53567
0.671,53598
0.672,53631
0.673,53662
0.674,53696
0.675,53732
0.676,53765
0.677,53798
0.678,53834
0.679,53864
0.68,53903
0.681,53935
0.682,53970
0.683,54019
0.684,54050
0.685,54089
0.686,54123
0.687,54160
0.688,54195
0.689,54232
0.69,54267
0.691,54306
0.692,54339
0.693,54378
0.694,54427
0.695,54463
0.696,54500
0.697,54538
0.698,54570
0.699,54610
0.7,54657
0.701,54698
0.702,54733
0.703,54769
0.704,54816
0.705,54851
0.706,54885
0.707,54922
0.708,54975
0.709,55012
0.71,55048
0.711,55083
0.712,55137
0.713,55172
0.714,55212
0.715,55263
0.716,55301
0.717,55336
0.718,55386
0.719,55422
0.72,55462
0.721,55505
0.722,55558
0.723,55597
0.724,55634
0.725,55675
0.726,55722
0.727,55775
0.728,55822
0.729,55863
0.73,55912
0.731,55954
0.732,55997
0.733,56044
0.734,56088
0.735,56132
0.736,56180
0.737,56227
0.738,56290
0.739,56329
0.74,56378
0.741,56428
0.742,56472
0.743,56520
0.744,56564
0.745,56612
0.746,56657
0.747,56722
0.748,56773
0.749,56814
0.75,56864
0.751,56910
0.752,56973
0.753,57017
0.754,57062
0.755,57113
0.756,57164
0.757,57214
0.758,57279
0.759,57323
0.76,57375
0.761,57426
0.762,57475
0.763,57539
0.764,57586
0.765,57634
0.766,57698
0.767,57748
0.768,57801
0.769,57846
0.77,57911
0.771,57962
0.772,58013
0.773,58061
0.774,58129
0.775,58175
0.776,58228
0.777,58294
0.778,58340
0.779,58392
0.78,58458
0.781,58509
0.782,58557
0.783,58623
0.784,58672
0.785,58744
0.786,58793
0.787,58843
0.788,58914
0.789,58972
0.79,59028
0.791,59082
0.792,59162
0.793,59218
0.794,59277
0.795,59337
0.796,59418
0.797,59474
0.798,59536
0.799,59615
0.8,59674
0.801,59732
0.802,59811
0.803,59869
0.804,59932
0.805,60009
0.806,60071
0.807,60151
0.808,60207
0.809,60287
0.81,60344
0.811,60424
0.812,60482
0.813,60561
0.814,60640
0.815,60700
0.816,60779
0.817,60858
0.818,60915
0.819,60993
0.82,61071
0.821,61148
0.822,61225
0.823,61301
0.824,61360
0.825,61436
0.826,61512
0.827,61587
0.828,61663
0.829,61737
0.83,61812
0.831,61902
0.832,61976
0.833,62049
0.834,62127
0.835,62200
0.836,62272
0.837,62359
0.838,62430
0.839,62506
0.84,62592
0.841,62665
0.842,62751
0.843,62822
0.844,62911
0.845,62980
0.846,63068
0.847,63150
0.848,63236
0.849,63317
0.85,63403
0.851,63490
0.852,63576
0.853,63664
0.854,63749
0.855,63831
0.856,63911
0.857,63990
0.858,64069
0.859,64150
0.86,64228
0.861,64307
0.862,64387
0.863,64465
0.864,64545
0.865,64624
0.866,64703
0.867,64797
0.868,64877
0.869,64957
0.87,65037
0.871,65116
0.872,65216
0.873,65293
0.874,65374
0.875,65454
0.876,65548
0.877,65630
0.878,65710
0.879,65803
0.88,65883
0.881,65976
0.882,66054
0.883,66147
0.884,66225
0.885,66318
0.886,66397
0.887,66490
0.888,66567
0.889,66661
0.89,66741
0.891,66834
0.892,66927
0.893,67004
0.894,67097
0.895,67192
0.896,67269
0.897,67360
0.898,67452
0.899,67530
0.9,67597
0.901,67626
0.902,67659
0.903,67693
0.904,67730
0.905,67772
0.906,67805
0.907,67844
0.908,67882
0.909,67921
0.91,67966
0.911,68010
0.912,68064
0.913,68135
0.914,68227
0.915,68357
0.916,68422
