Mach,Thrust
0.51,72193
0.511,72199
0.512,72207
0.513,72219
0.514,72227
0.515,72236
0.516,72248
0.517,72257
0.518,72266
0.519,72285
0.52,72297
0.521,72307
0.522,72316
0.523,72330
0.524,72339
0.525,72348
0.526,72363
0.527,72376
0.528,72395
0.529,72405
0.53,72418
0.531,72434
0.532,72446
0.533,72457
0.534,72471
0.535,72487
0.536,72502
0.537,72519
0.538,72534
0.539,72546
0.54,72559
0.541,72577
0.542,72593
0.543,72616
0.544,72629
0.545,72646
0.546,72663
0.547,72677
0.548,72691
0.549,72710
0.55,72738
0.551,72753
0.552,72768
0.553,72786
0.554,72806
0.555,72826
0.556,72847
0.557,72866
0.558,72887
0.559,72902
0.56,72920
0.561,72941
0.562,72973
0.563,72991
0.564,73008
0.565,73029
0.566,73051
0.567,73075
0.568,73101
0.569,73119
0.57,73140
0.571,73164
0.572,73184
0.573,73214
0.574,73239
0.575,73259
0.576,73283
0.577,73304
0.578,73327
0.579,73353
0.58,73376
0.581,73394
0.582,73421
0.583,73455
0.584,73476
0.585,73504
0.586,73522
0.587,73545
0.588,73567
0.589,73606
0.59,73630
0.591,73653
0.592,73675
0.593,73700
0.594,73738
0.595,73757
0.596,73788
0.597,73819
0.598,73847
0.599,73869
0.6,73900
0.601,73927
0.602,73971
0.603,73999
0.604,74026
0.605,74054
0.606,74088
0.607,74115
0.608,74145
0.609,74180
0.61,74215
0.611,74243
0.612,74275
0.613,74307
0.614,74341
0.615,74377
0.616,74402
0.617,74438
0.618,74475
0.619,74520
0.62,74558
0.621,74596
0.622,74622
0.623,74655
0.624,74687
0.625,74738
0.626,74774
0.627,74810
0.628,74845
0.629,74899
0.63,74936
0.631,74974
0.632,75030
0.633,75067
0.634,75102
0.635,75156
0.636,75180
0.637,75229
0.638,75261
0.639,75300
0.64,75330
0.641,75362
0.642,75395
0.643,75429
0.644,75462
0.645,75502
0.646,75533
0.647,75561
0.648,75603
0.649,75637
0.65,75671
0.651,75713
0.652,75747
0.653,75797
0.654,75829
0.655,75867
0.656,75907
0.657,75962
0.658,76000
0.659,76041
0.66,76083
0.661,76128
0.662,76167
0.663,76211
0.664,76271
0.665,76315
0.666,76364
0.667,76407
0.668,76453
0.669,76500
0.67,76543
0.671,76589
0.672,76635
0.673,76704
0.674,76751
0.675,76799
0.676,76846
0.677,76889
0.678,76936
0.679,77009
0.68,77052
0.681,77098
0.682,77148
0.683,77198
0.684,77269
0.685,77315
0.686,77365
0.687,77416
0.688,77482
0.689,77534
0.69,77585
0.691,77659
0.692,77705
0.693,77756
0.694,77808
0.695,77875
0.696,77928
0.697,78007
0.698,78055
0.699,78102
0.7,78182
0.701,78229
0.702,78277
0.703,78360
0.704,78414
0.705,78465
0.706,78540
0.707,78594
0.708,78644
0.709,78724
0.71,78778
0.711,78835
0.712,78909
0.713,78967
0.714,79024
0.715,79107
0.716,79160
0.717,79215
0.718,79296
0.719,79350
0.72,79410
0.721,79499
0.722,79554
0.723,79608
0.724,79697
0.725,79751
0.726,79808
0.727,79900
0.728,79960
0.729,80043
0.73,80107
0.731,80169
0.732,80226
0.733,80320
0.734,80382
0.735,80465
0.736,80527
0.737,80589
0.738,80679
0.739,80735
0.74,80826
0.741,80883
0.742,80975
0.743,81034
0.744,81127
0.745,81184
0.746,81274
0.747,81336
0.748,81424
0.749,81483
0.75,81578
0.751,81641
0.752,81725
0.753,81789
0.754,81886
0.755,81946
0.756,82035
0.757,82098
0.758,82190
0.759,82281
0.76,82345
0.761,82438
0.762,82497
0.763,82594
0.764,82688
0.765,82747
0.766,82845
0.767,82909
0.768,83007
0.769,83069
0.77,83167
0.771,83263
0.772,83329
0.773,83425
0.774,83488
0.775,83590
0.776,83687
0.777,83750
0.778,83853
0.779,83949
0.78,84014
0.781,84119
0.782,84186
0.783,84284
0.784,84385
0.785,84458
0.786,84558
0.787,84663
0.788,84729
0.789,84833
0.79,84936
0.791,85002
0.792,85109
0.793,85212
0.794,85315
0.795,85387
0.796,85491
0.797,85593
0.798,85702
0.799,85804
0.8,85871
0.801,85982
0.802,86087
0.803,86189
0.804,86293
0.805,86398
0.806,86466
0.807,86573
0.808,86677
0.809,86780
0.81,86879
0.811,86987
0.812,87089
0.813,87228
0.814,87328
0.815,87430
0.816,87532
0.817,87634
0.818,87735
0.819,87836
0.82,87970
0.821,88078
0.822,88181
0.823,88284
0.824,88424
0.825,88528
0.826,88631
0.827,88735
0.828,88874
0.829,88978
0.83,89085
0.831,89225
0.832,89326
0.833,89430
0.834,89569
0.835,89670
0.836,89808
0.837,89908
0.838,90042
0.839,90141
0.84,90274
0.841,90407
0.842,90538
0.843,90637
0.844,90769
0.845,90901
0.846,91031
0.847,91162
0.848,91291
0.849,91419
0.85,91546
0.851,91674
0.852,91798
0.853,91919
0.854,92036
0.855,92178
0.856,92290
0.857,92426
0.858,92560
0.859,92664
0.86,92796
0.861,92925
0.862,93050
0.863,93177
0.864,93309
0.865,93442
0.866,93547
0.867,93676
0.868,93806
0.869,93935
0.87,94062
0.871,94191
0.872,94315
0.873,94419
0.874,94546
0.875,94669
0.876,94807
0.877,94918
0.878,95026
0.879,95152
0.88,95271
0.881,95392
0.882,95516
0.883,95644
0.884,95796
0.885,95909
0.886,96042
0.887,96173
0.888,96305
0.889,96438
0.89,96572
0.891,96665
0.892,96751
0.893,96823
0.894,96913
0.895,97008
0.896,97087
0.897,97183
0.898,97284
0.899,97370
0.9,97425
0.901,97432
0.902,97443
0.903,97454
0.904,97462
0.905,97468
0.906,97471
0.907,97470
0.908,97467
0.909,97462
0.91,97454
0.911,42030
0.912,47421
0.913,53186
0.914,64732
0.915,76363
