Mach,Thrust
0.224,64887
0.225,71297
0.226,73456
0.227,74779
0.228,75701
0.229,76286
0.23,76587
0.231,76715
0.232,76759
0.233,76766
0.234,76749
0.235,76719
0.236,76689
0.237,76654
0.238,76615
0.239,76572
0.24,76527
0.241,76490
0.242,76441
0.243,76403
0.244,76363
0.245,76324
0.246,76282
0.247,76228
0.248,76201
0.249,76159
0.25,76117
0.251,76076
0.252,76034
0.253,75993
0.254,75965
0.255,75923
0.256,75883
0.257,75840
0.258,75813
0.259,75772
0.26,75730
0.261,75703
0.262,75663
0.263,75634
0.264,75594
0.265,75554
0.266,75527
0.267,75487
0.268,75449
0.269,75424
0.27,75385
0.271,75347
0.272,75322
0.273,75285
0.274,75248
0.275,75223
0.276,75186
0.277,75150
0.278,75126
0.279,75091
0.28,75055
0.281,75032
0.282,74997
0.283,74962
0.284,74939
0.285,74904
0.286,74871
0.287,74837
0.288,74814
0.289,74781
0.29,74748
0.291,74725
0.292,74692
0.293,74659
0.294,74627
0.295,74605
0.296,74573
0.297,74541
0.298,74519
0.299,74487
0.3,74456
0.301,74434
0.302,74403
0.303,74371
0.304,74351
0.305,74320
0.306,74289
0.307,74259
0.308,74239
0.309,74209
0.31,74178
0.311,74157
0.312,74126
0.313,74106
0.314,74075
0.315,74055
0.316,74024
0.317,73993
0.318,73973
0.319,73943
0.32,73922
0.321,73892
0.322,73871
0.323,73841
0.324,73810
0.325,73789
0.326,73767
0.327,73735
0.328,73713
0.329,73681
0.33,73659
0.331,73637
0.332,73614
0.333,73581
0.334,73558
0.335,73534
0.336,73512
0.337,73490
0.338,73468
0.339,73446
0.34,73412
0.341,73389
0.342,73367
0.343,73345
0.344,73324
0.345,73302
0.346,73280
0.347,73259
0.348,73239
0.349,73218
0.35,73197
0.351,73177
0.352,73157
0.353,73136
0.354,73116
0.355,73096
0.356,73077
0.357,73058
0.358,73038
0.359,73018
0.36,73000
0.361,72980
0.362,72962
0.363,72944
0.364,72926
0.365,72908
0.366,72890
0.367,72873
0.368,72855
0.369,72838
0.37,72821
0.371,72804
0.372,72788
0.373,72771
0.374,72754
0.375,72738
0.376,72722
0.377,72706
0.378,72690
0.379,72674
0.38,72658
0.381,72643
0.382,72627
0.383,72612
0.384,72600
0.385,72584
0.386,72561
0.387,72547
0.388,72532
0.389,72520
0.39,72504
0.391,72488
0.392,72479
0.393,72464
0.394,72451
0.395,72435
0.396,72426
0.397,72413
0.398,72399
0.399,72383
0.4,72374
0.401,72361
0.402,72349
0.403,72336
0.404,72323
0.405,72314
0.406,72298
0.407,72289
0.408,72276
0.409,72267
0.41,72254
0.411,72243
0.412,72233
0.413,72225
0.414,72217
0.415,72207
0.416,72195
0.417,72186
0.418,72175
0.419,72167
0.42,72163
0.421,72152
0.422,72150
0.423,72140
0.424,72134
0.425,72126
0.426,72119
0.427,72111
0.428,72106
0.429,72099
0.43,72091
0.431,72085
0.432,72079
0.433,72074
0.434,72067
0.435,72059
0.436,72058
0.437,72052
0.438,72046
0.439,72041
0.44,72038
0.441,72030
0.442,72026
0.443,72026
0.444,72021
0.445,72015
0.446,72015
0.447,72011
0.448,72007
0.449,72006
0.45,71999
0.451,71996
0.452,71996
0.453,71994
0.454,71991
0.455,71990
0.456,71989
0.457,71988
0.458,71987
0.459,71986
0.46,71985
0.461,71982
0.462,71982
0.463,71981
0.464,71981
0.465,71982
0.466,71981
0.467,71981
0.468,71982
0.469,71986
0.47,71986
0.471,71984
0.472,71985
0.473,71986
0.474,71989
0.475,71990
0.476,71995
0.477,71998
0.478,72000
0.479,72005
0.48,72007
0.481,72010
0.482,72014
0.483,72017
0.484,72019
0.485,72025
0.486,72029
0.487,72033
0.488,72035
0.489,72044
0.49,72046
0.491,72049
0.492,72057
0.493,72063
0.494,72070
0.495,72073
0.496,72078
0.497,72086
0.498,72094
0.499,72098
0.5,72103
0.501,72116
0.502,72124
0.503,72132
0.504,72141
0.505,72149
0.506,72157
0.507,72164
0.508,72170
0.509,72178
