Mach,Thrust
0.559,83094
0.56,83128
0.561,83151
0.562,83177
0.563,83199
0.564,83216
0.565,83240
0.566,83262
0.567,83276
0.568,83290
0.569,83311
0.57,83325
0.571,83341
0.572,83356
0.573,83372
0.574,83388
0.575,83404
0.576,83420
0.577,83437
0.578,83455
0.579,83474
0.58,83493
0.581,83512
0.582,83522
0.583,83542
0.584,83561
0.585,83581
0.586,83601
0.587,83622
0.588,83643
0.589,83664
0.59,83685
0.591,83708
0.592,83719
0.593,83742
0.594,83766
0.595,83790
0.596,83815
0.597,83841
0.598,83867
0.599,83895
0.6,83922
0.601,83951
0.602,83979
0.603,84008
0.604,84037
0.605,84067
0.606,84097
0.607,84128
0.608,84160
0.609,84192
0.61,84224
0.611,84257
0.612,84290
0.613,84324
0.614,84359
0.615,84394
0.616,84429
0.617,84464
0.618,84501
0.619,84537
0.62,84575
0.621,84613
0.622,84651
0.623,84690
0.624,84730
0.625,84769
0.626,84790
0.627,84830
0.628,84870
0.629,84911
0.63,84952
0.631,84994
0.632,85035
0.633,85078
0.634,85120
0.635,85163
0.636,85206
0.637,85249
0.638,85292
0.639,85314
0.64,85360
0.641,85404
0.642,85450
0.643,85496
0.644,85542
0.645,85588
0.646,85635
0.647,85682
0.648,85730
0.649,85778
0.65,85826
0.651,85874
0.652,85898
0.653,85948
0.654,85998
0.655,86049
0.656,86099
0.657,86150
0.658,86203
0.659,86255
0.66,86307
0.661,86359
0.662,86386
0.663,86437
0.664,86490
0.665,86543
0.666,86594
0.667,86645
0.668,86696
0.669,86747
0.67,86823
0.671,86874
0.672,86925
0.673,86976
0.674,87028
0.675,87080
0.676,87130
0.677,87207
0.678,87258
0.679,87309
0.68,87360
0.681,87436
0.682,87486
0.683,87537
0.684,87612
0.685,87668
0.686,87718
0.687,87797
0.688,87849
0.689,87900
0.69,87978
0.691,88031
0.692,88113
0.693,88161
0.694,88218
0.695,88300
0.696,88357
0.697,88411
0.698,88500
0.699,88559
0.7,88617
0.701,88675
0.702,88735
0.703,88827
0.704,88889
0.705,88950
0.706,89013
0.707,89075
0.708,89140
0.709,89204
0.71,89268
0.711,89364
0.712,89428
0.713,89493
0.714,89557
0.715,89623
0.716,89689
0.717,89757
0.718,89824
0.719,89893
0.72,89961
0.721,90029
0.722,90100
0.723,90171
0.724,90242
0.725,90312
0.726,90382
0.727,90486
0.728,90555
0.729,90622
0.73,90692
0.731,90761
0.732,90829
0.733,90896
0.734,90999
0.735,91067
0.736,91134
0.737,91233
0.738,91300
0.739,91367
0.74,91466
0.741,91530
0.742,91627
0.743,91692
0.744,91787
0.745,91850
0.746,91945
0.747,92036
0.748,92126
0.749,92215
0.75,92305
0.751,92392
0.752,92478
0.753,92563
0.754,92648
0.755,92758
0.756,92837
0.757,92945
0.758,93027
0.759,93140
0.76,93221
0.761,93332
0.762,93415
0.763,93526
0.764,93606
0.765,93710
0.766,93812
0.767,93886
0.768,93985
0.769,94083
0.77,94183
0.771,94278
0.772,94374
0.773,94470
0.774,94568
0.775,94664
0.776,94761
0.777,94858
0.778,94955
0.779,95054
0.78,95154
0.781,95257
0.782,95359
0.783,95462
0.784,95565
0.785,95666
0.786,95766
0.787,95867
0.788,95966
0.789,96066
0.79,96165
0.791,96264
0.792,96362
0.793,96459
0.794,96558
0.795,96679
0.796,96775
0.797,96894
0.798,96990
0.799,97106
0.8,97201
0.801,97316
0.802,97431
0.803,97546
0.804,97665
0.805,97757
0.806,97873
0.807,97986
0.808,98100
0.809,98211
0.81,98341
0.811,98446
0.812,98564
0.813,98658
0.814,98785
0.815,98904
0.816,99024
0.817,99156
0.818,99285
0.819,99422
0.82,99538
0.821,99675
0.822,99791
0.823,99914
0.824,100048
0.825,100211
0.826,100389
0.827,100515
0.828,100631
0.829,100732
0.83,100836
0.831,100928
0.832,101034
0.833,101138
0.834,101225
0.835,101343
0.836,101459
0.837,101570
0.838,101703
0.839,101838
0.84,101987
0.841,102137
0.842,102310
0.843,102497
0.844,102648
0.845,102772
0.846,102885
