Mach,Thrust
0.195,89447
0.196,89727
0.197,89924
0.198,90060
0.199,90173
0.2,90238
0.201,90279
0.202,90285
0.203,90265
0.204,90234
0.205,90193
0.206,90145
0.207,90102
0.208,90055
0.209,90003
0.21,89948
0.211,89891
0.212,89846
0.213,89782
0.214,89733
0.215,89681
0.216,89629
0.217,89575
0.218,89522
0.219,89467
0.22,89413
0.221,89376
0.222,89319
0.223,89261
0.224,89204
0.225,89167
0.226,89110
0.227,89050
0.228,89011
0.229,88954
0.23,88916
0.231,88857
0.232,88800
0.233,88762
0.234,88706
0.235,88668
0.236,88612
0.237,88556
0.238,88519
0.239,88462
0.24,88426
0.241,88370
0.242,88314
0.243,88277
0.244,88222
0.245,88185
0.246,88130
0.247,88093
0.248,88036
0.249,87998
0.25,87942
0.251,87905
0.252,87850
0.253,87813
0.254,87756
0.255,87720
0.256,87664
0.257,87628
0.258,87571
0.259,87534
0.26,87497
0.261,87439
0.262,87401
0.263,87362
0.264,87303
0.265,87264
0.266,87223
0.267,87184
0.268,87123
0.269,87082
0.27,87040
0.271,86998
0.272,86955
0.273,86914
0.274,86871
0.275,86829
0.276,86787
0.277,86745
0.278,86703
0.279,86662
0.28,86618
0.281,86576
0.282,86534
0.283,86513
0.284,86471
0.285,86429
0.286,86389
0.287,86348
0.288,86308
0.289,86268
0.29,86229
0.291,86189
0.292,86149
0.293,86108
0.294,86067
0.295,86028
0.296,85989
0.297,85950
0.298,85912
0.299,85873
0.3,85835
0.301,85797
0.302,85760
0.303,85722
0.304,85685
0.305,85648
0.306,85612
0.307,85575
0.308,85539
0.309,85520
0.31,85484
0.311,85448
0.312,85411
0.313,85374
0.314,85336
0.315,85300
0.316,85262
0.317,85227
0.318,85191
0.319,85172
0.32,85136
0.321,85100
0.322,85066
0.323,85029
0.324,84994
0.325,84959
0.326,84926
0.327,84891
0.328,84874
0.329,84839
0.33,84805
0.331,84771
0.332,84738
0.333,84704
0.334,84671
0.335,84638
0.336,84605
0.337,84588
0.338,84556
0.339,84523
0.34,84491
0.341,84458
0.342,84425
0.343,84393
0.344,84376
0.345,84344
0.346,84312
0.347,84280
0.348,84248
0.349,84233
0.35,84201
0.351,84170
0.352,84138
0.353,84107
0.354,84091
0.355,84060
0.356,84029
0.357,83999
0.358,83983
0.359,83952
0.36,83922
0.361,83906
0.362,83876
0.363,83845
0.364,83830
0.365,83799
0.366,83769
0.367,83753
0.368,83723
0.369,83693
0.37,83678
0.371,83649
0.372,83634
0.373,83604
0.374,83575
0.375,83561
0.376,83531
0.377,83517
0.378,83489
0.379,83461
0.38,83447
0.381,83420
0.382,83406
0.383,83378
0.384,83364
0.385,83337
0.386,83310
0.387,83297
0.388,83272
0.389,83259
0.39,83234
0.391,83209
0.392,83197
0.393,83172
0.394,83160
0.395,83136
0.396,83113
0.397,83102
0.398,83079
0.399,83056
0.4,83046
0.401,83024
0.402,83002
0.403,82992
0.404,82972
0.405,82952
0.406,82942
0.407,82922
0.408,82912
0.409,82893
0.41,82874
0.411,82864
0.412,82846
0.413,82828
0.414,82818
0.415,82801
0.416,82783
0.417,82775
0.418,82758
0.419,82742
0.42,82734
0.421,82718
0.422,82703
0.423,82687
0.424,82680
0.425,82665
0.426,82651
0.427,82643
0.428,82629
0.429,82616
0.43,82609
0.431,82596
0.432,82583
0.433,82576
0.434,82563
0.435,82551
0.436,82545
0.437,82533
0.438,82522
0.439,82516
0.44,82504
0.441,82494
0.442,82488
0.443,82478
0.444,82473
0.445,82463
0.446,82453
0.447,82448
0.448,82438
0.449,82429
0.45,82425
0.451,82416
0.452,82412
0.453,82404
0.454,82396
0.455,82392
0.456,82385
0.457,82378
0.458,82375
0.459,82368
0.46,82362
0.461,82359
0.462,82354
0.463,82349
0.464,82347
0.465,82342
0.466,82338
0.467,82336
0.468,82332
0.469,82329
0.47,82328
0.471,82325
0.472,82322
0.473,82321
0.474,82319
0.475,82317
0.476,82316
0.477,82315
0.478,82314
0.479,82314
0.48,82314
0.481,82314
0.482,82314
0.483,82315
0.484,82316
0.485,82316
0.486,82317
0.487,82318
0.488,82320
0.489,82322
0.49,82324
0.491,82326
0.492,82328
0.493,82331
0.494,82335
0.495,82337
0.496,82341
0.497,82345
0.498,82349
0.499,82351
0.5,82357
0.501,82362
0.502,82368
0.503,82371
0.504,82377
0.505,82383
0.506,82390
0.507,82397
0.508,82398
0.509,82408
0.51,82417
0.511,82424
0.512,82432
0.513,82438
0.514,82445
0.515,82454
0.516,82463
0.517,82468
0.518,82478
0.519,82488
0.52,82498
0.521,82506
0.522,82519
0.523,82525
0.524,82536
0.525,82547
0.526,82560
0.527,82570
0.528,82582
0.529,82593
0.53,82602
0.531,82618
0.532,82627
0.533,82639
0.534,82655
0.535,82669
0.536,82682
0.537,82695
0.538,82709
0.539,82724
0.54,82736
0.541,82748
0.542,82762
0.543,82778
0.544,82797
0.545,82812
0.546,82829
0.547,82841
0.548,82860
0.549,82874
0.55,82897
0.551,82914
0.552,82934
0.553,82953
0.554,82971
0.555,82990
0.556,83004
0.557,83027
0.558,83057
