AOA,Weight,Gravity,Pitch,TAS,IAS,Rho,Lift,Drag,Thrust[0],Thrust[1],Cl,Cd
7.052794,64137.66797,9.793597,7.868038,100.487595,177.469406,1.05552,624658.5625,36076.60156,77253.60156,76834.625,0.762779,0.044054
7.03899,64137.61328,9.793597,7.857192,100.524506,177.526779,1.055517,624138.4375,36030.28516,77333.66406,0,0.761587,0.043965
7.025828,64137.5625,9.793597,7.846759,100.559692,177.581711,1.055514,623683.875,35991.625,77408.03906,0,0.760502,0.043887
7.012102,64137.51172,9.793596,7.835782,100.596413,177.639359,1.05551,623213.375,35945.25391,77483.85156,0,0.759376,0.043799
6.997241,64137.46484,9.793596,7.823777,100.636238,177.702301,1.055507,622650.875,35889.30078,77564.24219,0,0.758093,0.043696
6.983224,64137.40625,9.793596,7.812345,100.673882,177.762009,1.055503,622125.75,35846.91016,77638.16406,0,0.75689,0.043612
6.968661,64137.35547,9.793596,7.800365,100.71302,177.824448,1.0555,621642.625,35799.67969,77713.5625,0,0.755717,0.043521
6.954788,64134.91406,9.793596,7.788842,100.750443,177.884338,1.055496,621064.6875,35752.66797,77783.84375,0,0.754456,0.043432
6.940568,64137.25,9.793596,7.776928,100.788902,177.946198,1.055493,620573.1875,35705.82422,77854.67969,0,0.753286,0.043342
6.92608,64137.19531,9.793596,7.764682,100.828224,178.00975,1.055489,620053.25,35657.66797,77925.57031,0,0.752071,0.04325
6.911922,64137.14063,9.793596,7.752594,100.86689,178.072479,1.055486,619421.5625,35604.90625,77993.85938,0,0.750731,0.043153
