AOA,Cl,Cd
15.97,0.176171,0.017101
15.96,0.176097,0.017101
15.94,0.17597,0.017052
15.93,0.17586,0.017022
15.92,0.175764,0.016963
15.9,0.175632,0.016973
15.89,0.175444,0.016967
15.88,0.175483,0.016894
15.87,0.175351,0.016926
15.85,0.175181,0.016851
15.84,0.175166,0.016809
15.83,0.175086,0.016768
15.81,0.174914,0.016683
15.77,0.174682,0.016593
15.63,0.173637,0.01624
15.47,0.172362,0.015826
15.38,0.171695,0.015616
15.37,0.17163,0.015591
15.3,0.171032,0.015404
15.29,0.170993,0.01539
15.2,0.170278,0.015179
15.11,0.16953,0.014951
15.01,0.168705,0.014704
14.9,0.167825,0.014449
14.79,0.166968,0.014208
14.69,0.166091,0.013965
14.58,0.165213,0.013724
14.48,0.164401,0.013504
14.4,0.163719,0.013321
14.33,0.163117,0.013161
14.26,0.162492,0.012999
14.17,0.161778,0.012817
14.08,0.160945,0.012607
13.97,0.159989,0.01237
13.85,0.159015,0.012135
13.76,0.158175,0.011937
13.68,0.157497,0.011779
13.62,0.156963,0.011656
13.58,0.156555,0.011566
13.52,0.156042,0.011458
13.43,0.155264,0.011289
13.33,0.154307,0.011081
13.21,0.153249,0.010851
13.09,0.152202,0.010628
13.0,0.151298,0.010438
12.9,0.150442,0.010263
12.81,0.149539,0.010083
12.72,0.148737,0.009927
12.64,0.147971,0.009782
12.55,0.147178,0.009635
12.48,0.146446,0.009502
12.4,0.145747,0.009373
12.33,0.145068,0.009246
12.25,0.144336,0.00911
12.18,0.143626,0.008982
12.12,0.143082,0.008886
12.07,0.14258,0.0088
12.02,0.142084,0.008717
11.97,0.141553,0.008629
11.9,0.140942,0.008527
11.83,0.140209,0.008406
11.75,0.13939,0.00827
11.66,0.138533,0.00813
11.58,0.137799,0.008013
11.54,0.13734,0.007941
11.51,0.137088,0.007902
11.49,0.136834,0.007864
11.45,0.136475,0.00781
11.41,0.13605,0.007749
11.37,0.135675,0.007695
11.34,0.13532,0.007644
11.29,0.134826,0.007571
11.22,0.134102,0.007464
11.13,0.133193,0.007334
11.04,0.132255,0.007208
10.95,0.131348,0.007096
10.87,0.130564,0.006999
10.8,0.129863,0.006886
10.73,0.129139,0.006759
10.66,0.128446,0.00666
10.61,0.127885,0.006589
10.56,0.127377,0.006521
10.51,0.1269,0.006457
10.47,0.126404,0.006393
10.41,0.125866,0.006325
10.36,0.125317,0.006255
10.3,0.124673,0.006178
10.24,0.123989,0.006101
10.19,0.12347,0.006041
10.15,0.123027,0.005984
10.1,0.122598,0.005927
10.06,0.122124,0.005865
9.99,0.121424,0.005781
9.92,0.120618,0.005687
9.84,0.119815,0.005594
9.78,0.119143,0.005517
9.74,0.118654,0.005463
9.7,0.118271,0.005421
9.66,0.117838,0.005373
9.61,0.117322,0.005315
9.57,0.116857,0.005264
9.53,0.116386,0.005213
9.48,0.115846,0.005156
9.42,0.115238,0.005092
9.36,0.114547,0.00502
9.3,0.113869,0.00495
9.24,0.113302,0.00489
9.21,0.112889,0.004848
9.17,0.1125,0.004808
9.13,0.112107,0.004768
9.1,0.111705,0.004728
9.06,0.111279,0.004686
9.01,0.110771,0.004636
8.96,0.110205,0.00458
8.91,0.109606,0.004522
8.86,0.109096,0.004473
8.84,0.108813,0.004447
8.83,0.108746,0.004441
8.81,0.108561,0.004426
8.78,0.108135,0.004387
8.73,0.107648,0.00434
8.68,0.107081,0.004287
8.63,0.106487,0.004232
8.58,0.105969,0.004185
8.54,0.105509,0.004143
8.5,0.105061,0.004104
8.47,0.104667,0.00407
8.43,0.104292,0.004038
8.38,0.103658,0.003982
8.31,0.102899,0.003915
8.26,0.102365,0.003869
8.23,0.101976,0.003836
8.19,0.101569,0.003802
8.16,0.101153,0.003768
8.12,0.100707,0.003732
8.08,0.100288,0.003698
8.05,0.099903,0.003666
8.02,0.099594,0.003639
7.99,0.099261,0.003612
7.95,0.098765,0.003572
