ALTITUDE,Mach,Thrust
1000,70000,0.449,82429
1000,70000,0.45,82425
1000,70000,0.451,82416
1000,70000,0.452,82412
1000,70000,0.453,82404
1000,70000,0.454,82396
1000,70000,0.455,82392
1000,70000,0.456,82385
1000,70000,0.457,82378
1000,70000,0.458,82375
1000,70000,0.459,82368
1000,70000,0.46,82362
1000,70000,0.461,82359
1000,70000,0.462,82354
1000,70000,0.463,82349
1000,70000,0.464,82347
1000,70000,0.465,82342
1000,70000,0.466,82338
1000,70000,0.467,82336
1000,70000,0.468,82332
1000,70000,0.469,82329
1000,70000,0.47,82328
1000,70000,0.471,82325
1000,70000,0.472,82322
1000,70000,0.473,82321
1000,70000,0.474,82319
1000,70000,0.475,82317
1000,70000,0.476,82316
1000,70000,0.477,82315
1000,70000,0.478,82314
1000,70000,0.479,82314
1000,70000,0.48,82314
1000,70000,0.481,82314
1000,70000,0.482,82314
1000,70000,0.483,82315
1000,70000,0.484,82316
1000,70000,0.485,82316
1000,70000,0.486,82317
1000,70000,0.487,82318
1000,70000,0.488,82320
1000,70000,0.489,82322
1000,70000,0.49,82324
1000,70000,0.491,82326
1000,70000,0.492,82328
1000,70000,0.493,82331
1000,70000,0.494,82335
1000,70000,0.495,82337
1000,70000,0.496,82341
1000,70000,0.497,82345
1000,70000,0.498,82349
1000,70000,0.499,82351
1000,70000,0.5,82357
1000,70000,0.501,82362
1000,70000,0.502,82368
1000,70000,0.503,82371
1000,70000,0.504,82377
1000,70000,0.505,82383
1000,70000,0.506,82390
1000,70000,0.507,82397
1000,70000,0.508,82398
1000,70000,0.509,82408
1000,70000,0.51,82417
1000,70000,0.511,82424
1000,70000,0.512,82432
1000,70000,0.513,82438
1000,70000,0.514,82445
1000,70000,0.515,82454
1000,70000,0.516,82463
1000,70000,0.517,82468
1000,70000,0.518,82478
1000,70000,0.519,82488
1000,70000,0.52,82498
1000,70000,0.521,82506
1000,70000,0.522,82519
1000,70000,0.523,82525
1000,70000,0.524,82536
1000,70000,0.525,82547
1000,70000,0.526,82560
1000,70000,0.527,82570
1000,70000,0.528,82582
1000,70000,0.529,82593
1000,70000,0.53,82602
1000,70000,0.531,82618
1000,70000,0.532,82627
1000,70000,0.533,82639
1000,70000,0.534,82655
1000,70000,0.535,82669
1000,70000,0.536,82682
1000,70000,0.537,82695
1000,70000,0.538,82709
1000,70000,0.539,82724
1000,70000,0.54,82736
1000,70000,0.541,82748
1000,70000,0.542,82762
1000,70000,0.543,82778
1000,70000,0.544,82797
1000,70000,0.545,82812
1000,70000,0.546,82829
1000,70000,0.547,82841
1000,70000,0.548,82860
1000,70000,0.549,82874
1000,70000,0.55,82897
1000,70000,0.551,82914
1000,70000,0.552,82934
1000,70000,0.553,82953
1000,70000,0.554,82971
1000,70000,0.555,82990
1000,70000,0.556,83004
1000,70000,0.557,83027
1000,70000,0.558,83057
1000,70000,0.559,83094
1000,70000,0.56,83128
1000,70000,0.561,83151
1000,70000,0.562,83177
1000,70000,0.563,83199
1000,70000,0.564,83216
1000,70000,0.565,83240
1000,70000,0.566,83262
1000,70000,0.567,83276
1000,70000,0.568,83290
1000,70000,0.569,83311
1000,70000,0.57,83325
1000,70000,0.571,83341
1000,70000,0.572,83356
1000,70000,0.573,83372
1000,70000,0.574,83388
1000,70000,0.575,83404
1000,70000,0.576,83420
1000,70000,0.577,83437
1000,70000,0.578,83455
1000,70000,0.579,83474
1000,70000,0.58,83493
1000,70000,0.581,83512
1000,70000,0.582,83522
1000,70000,0.583,83542
1000,70000,0.584,83561
1000,70000,0.585,83581
1000,70000,0.586,83601
1000,70000,0.587,83622
1000,70000,0.588,83643
1000,70000,0.589,83664
1000,70000,0.59,83685
1000,70000,0.591,83708
1000,70000,0.592,83719
1000,70000,0.593,83742
1000,70000,0.594,83766
1000,70000,0.595,83790
1000,70000,0.596,83815
1000,70000,0.597,83841
1000,70000,0.598,83867
1000,70000,0.599,83895
1000,70000,0.6,83922
1000,70000,0.601,83951
1000,70000,0.602,83979
1000,70000,0.603,84008
1000,70000,0.604,84037
1000,70000,0.605,84067
1000,70000,0.606,84097
1000,70000,0.607,84128
1000,70000,0.608,84160
1000,70000,0.609,84192
1000,70000,0.61,84224
1000,70000,0.611,84257
1000,70000,0.612,84290
1000,70000,0.613,84324
1000,70000,0.614,84359
1000,70000,0.615,84394
1000,70000,0.616,84429
1000,70000,0.617,84464
1000,70000,0.618,84501
1000,70000,0.619,84537
1000,70000,0.62,84575
1000,70000,0.621,84613
1000,70000,0.622,84651
1000,70000,0.623,84690
1000,70000,0.624,84730
1000,70000,0.625,84769
1000,70000,0.626,84790
1000,70000,0.627,84830
1000,70000,0.628,84870
1000,70000,0.629,84911
1000,70000,0.63,84952
1000,70000,0.631,84994
1000,70000,0.632,85035
1000,70000,0.633,85078
1000,70000,0.634,85120
1000,70000,0.635,85163
1000,70000,0.636,85206
1000,70000,0.637,85249
1000,70000,0.638,85292
1000,70000,0.639,85314
1000,70000,0.64,85360
1000,70000,0.641,85404
1000,70000,0.642,85450
1000,70000,0.643,85496
1000,70000,0.644,85542
1000,70000,0.645,85588
1000,70000,0.646,85635
1000,70000,0.647,85682
1000,70000,0.648,85730
1000,70000,0.649,85778
1000,70000,0.65,85826
1000,70000,0.651,85874
1000,70000,0.652,85898
1000,70000,0.653,85948
1000,70000,0.654,85998
1000,70000,0.655,86049
1000,70000,0.656,86099
1000,70000,0.657,86150
1000,70000,0.658,86203
1000,70000,0.659,86255
1000,70000,0.66,86307
1000,70000,0.661,86359
1000,70000,0.662,86386
1000,70000,0.663,86437
1000,70000,0.664,86490
1000,70000,0.665,86543
1000,70000,0.666,86594
1000,70000,0.667,86645
1000,70000,0.668,86696
1000,70000,0.669,86747
1000,70000,0.67,86823
1000,70000,0.671,86874
1000,70000,0.672,86925
1000,70000,0.673,86976
1000,70000,0.674,87028
1000,70000,0.675,87080
1000,70000,0.676,87130
1000,70000,0.677,87207
1000,70000,0.678,87258
1000,70000,0.679,87309
