AOA,Weight,Gravity,Pitch,TAS,IAS,Rho,Q,QS,Calculated CL,Lift,Drag,Thrust[0],Thrust[1],Cl,Cd,Wing Surface,,
6.829826,64136.82422,9.793596,7.680574,101.094978,178.447372,1.055464,5393.525737,87187.0447,7.204398,616592.5,35345.89063,78370.72656,0,0.743949,0.042647,122,6,
6.81559,64136.76953,9.793596,7.667758,101.135162,178.514313,1.055461,5397.795411,87256.06454,7.198693,616142.1875,35300.50391,78433.3125,0,0.742818,0.042558,122,6,
6.802732,64136.71094,9.793594,7.656082,101.171684,178.575241,1.055457,5401.676314,87318.79984,7.193513,615608.875,35260.19141,78488.92188,0,0.741642,0.042479,122,6,
6.788482,64136.66797,9.793594,7.643058,101.212311,178.643356,1.055454,5405.997065,87388.64533,7.187759,615191.25,35212.64844,78550.125,0,0.740546,0.042388,122,6,
6.77514,64136.60547,9.793594,7.630775,101.250511,178.707504,1.05545,5410.059644,87454.31745,7.182354,614755.875,35176.63672,78606.35156,0,0.739466,0.042313,122,6,
6.762149,64136.55078,9.793594,7.618722,101.287872,178.770401,1.055446,5414.034628,87518.57358,7.177075,614274.625,35134.24219,78660.29688,954.171875,0.738345,0.042231,122,6,
6.749213,64136.49609,9.793594,7.606628,101.325287,178.833557,1.055443,5418.017382,87582.95532,7.171793,613793.375,35090.05078,78713.14844,1,0.737224,0.042146,122,6,
6.736313,64136.44922,9.793594,7.594479,101.362778,178.897034,1.055439,5422.009749,87647.49245,7.166507,613339.5,35048.32813,78765.01563,126.560547,0.736137,0.042065,122,6,
6.723488,64136.39453,9.793594,7.58231,101.400269,178.960663,1.055436,5426.00296,87712.04324,7.161227,612866.625,35004.53906,78815.86719,0,0.735028,0.041982,122,6,
6.710025,64136.34766,9.793594,7.569426,101.439987,179.028305,1.055432,5430.236139,87780.47312,7.155639,612304.5625,34951.875,78868.96094,13.515625,0.733781,0.041886,122,6,
6.69715,64136.29297,9.793594,7.557028,101.47818,179.093475,1.055429,5434.306912,87846.2777,7.150273,611931.6875,34917.75391,78919.07031,0,0.732785,0.041814,122,6,
6.684253,64136.23828,9.793594,7.544509,101.516762,179.15947,1.055425,5438.4215,87912.79055,7.144857,611417.625,34871.63672,78968.92969,0,0.731616,0.041727,122,6,
6.671701,64136.18359,9.793594,7.532231,101.554665,179.224396,1.055421,5442.464852,87978.15185,7.139543,610938.5625,34829.14063,79016.97656,0,0.730499,0.041645,122,6,
6.659523,64136.12891,9.793594,7.520247,101.59169,179.287964,1.055418,5446.416233,88042.02644,7.134357,610575.3125,34794.94922,79062.89844,0,0.729535,0.041574,122,6,
6.647679,64136.07813,9.793594,7.508508,101.627998,179.350403,1.055414,5450.292112,88104.68053,7.129278,610132.125,34755.19922,79106.98438,1.08465E+21,0.728487,0.041497,122,6,
6.634877,64136.03516,9.793594,7.495728,101.667641,179.418823,1.055411,5454.526481,88173.12966,7.123738,609682.5625,34707.78125,79154.55469,0,0.727385,0.041408,122,6,
6.622554,64135.97656,9.793593,7.483351,101.706093,179.485275,1.055407,5458.634724,88239.53994,7.11837,609324.75,34674.69141,79199.83594,0,0.726411,0.041338,122,6,
6.610402,64135.92578,9.793593,7.471063,101.744354,179.551514,1.055404,5462.724018,88305.6439,7.113035,608913.5,34636.17969,79244.19531,0,0.725378,0.041261,122,6,
6.597935,64135.87109,9.793593,7.458363,101.784012,179.620346,1.0554,5466.964809,88374.19685,7.107512,608458.125,34592.13281,79289.58594,9,0.724273,0.041176,122,6,
6.586487,64135.81641,9.793593,7.446631,101.820709,179.684067,1.055396,5470.888502,88437.62385,7.102408,608129.9375,34563.90625,79330.53906,0,0.723363,0.041113,122,6,
6.575134,64135.76172,9.793593,7.43494,101.857346,179.747803,1.055393,5474.808882,88500.9973,7.097316,607847.375,34533.33984,79370.57813,0,0.722509,0.041048,122,6,
6.563812,64135.71484,9.793593,7.42321,101.894142,179.811905,1.05539,5478.747264,88564.66177,7.092209,607472.6875,34497.17578,79409.85938,0,0.721545,0.040975,122,6,
6.552595,64135.66016,9.793593,7.411518,101.93087,179.875977,1.055386,5482.680282,88628.23952,7.087116,607147.6875,34462.07813,79448.25,-7.58816E+36,0.720641,0.040904,122,6,
6.541279,64135.61328,9.793593,7.399649,101.96817,179.941208,1.055383,5486.676277,88692.83529,7.081949,606780.9375,34426.23438,79486.6875,0,0.719682,0.040832,122,6,
6.529653,64135.56641,9.793593,7.387398,102.006714,180.008728,1.055379,5490.806353,88759.59851,7.076617,606498.25,34393.24219,79525.92969,0.000001,0.718805,0.040762,122,6,
6.518299,64135.51172,9.793593,7.375339,102.044708,180.075363,1.055376,5494.879431,88825.44034,7.071365,606043.1875,34353.51563,79564.10938,1.08465E+21,0.717734,0.040685,122,6,
6.506993,64135.45703,9.793593,7.363267,102.082779,180.142242,1.055372,5498.961604,88891.42919,7.06611,605761.8125,34322.92578,79601.86719,0,0.716868,0.040618,122,6,
