AOA,Weight,Gravity,Pitch,TAS,IAS,Rho,Q,QS,Calculated CL,Lift,Drag,Thrust[0],Thrust[1],Cl,Cd,Wing Surface
6.843475,64136.871094,9.793596,7.692772,101.056587,178.383698,1.055468,5389.447753,87121.123560,7.209854,617001.875000,35388.746094,78309.914062,0.000000,0.745007,0.042731,16.165130
6.829826,64136.824219,9.793596,7.680574,101.094978,178.447372,1.055464,5393.525737,87187.044700,7.204398,616592.500000,35345.890625,78370.726562,0.000000,0.743949,0.042647,16.165130
6.815590,64136.769531,9.793596,7.667758,101.135162,178.514313,1.055461,5397.795411,87256.064539,7.198693,616142.187500,35300.503906,78433.312500,0.000000,0.742818,0.042558,16.165130
6.802732,64136.710938,9.793594,7.656082,101.171684,178.575241,1.055457,5401.676314,87318.799839,7.193513,615608.875000,35260.191406,78488.921875,0.000000,0.741642,0.042479,16.165130
6.788482,64136.667969,9.793594,7.643058,101.212311,178.643356,1.055454,5405.997065,87388.645329,7.187759,615191.250000,35212.648438,78550.125000,0.000000,0.740546,0.042388,16.165130
6.775140,64136.605469,9.793594,7.630775,101.250511,178.707504,1.055450,5410.059644,87454.317446,7.182354,614755.875000,35176.636719,78606.351562,0.000000,0.739466,0.042313,16.165130
6.762149,64136.550781,9.793594,7.618722,101.287872,178.770401,1.055446,5414.034628,87518.573584,7.177075,614274.625000,35134.242188,78660.296875,954.171875,0.738345,0.042231,16.165130
6.749213,64136.496094,9.793594,7.606628,101.325287,178.833557,1.055443,5418.017382,87582.955318,7.171793,613793.375000,35090.050781,78713.148438,1.000000,0.737224,0.042146,16.165130
6.736313,64136.449219,9.793594,7.594479,101.362778,178.897034,1.055439,5422.009749,87647.492452,7.166507,613339.500000,35048.328125,78765.015625,126.560547,0.736137,0.042065,16.165130
6.723488,64136.394531,9.793594,7.582310,101.400269,178.960663,1.055436,5426.002960,87712.043236,7.161227,612866.625000,35004.539062,78815.867188,0.000000,0.735028,0.041982,16.165130
6.710025,64136.347656,9.793594,7.569426,101.439987,179.028305,1.055432,5430.236139,87780.473115,7.155639,612304.562500,34951.875000,78868.960938,13.515625,0.733781,0.041886,16.165130
6.697150,64136.292969,9.793594,7.557028,101.478180,179.093475,1.055429,5434.306912,87846.277697,7.150273,611931.687500,34917.753906,78919.070312,0.000000,0.732785,0.041814,16.165130
6.684253,64136.238281,9.793594,7.544509,101.516762,179.159470,1.055425,5438.421500,87912.790545,7.144857,611417.625000,34871.636719,78968.929688,0.000000,0.731616,0.041727,16.165130
6.671701,64136.183594,9.793594,7.532231,101.554665,179.224396,1.055421,5442.464852,87978.151851,7.139543,610938.562500,34829.140625,79016.976562,0.000000,0.730499,0.041645,16.165130
6.659523,64136.128906,9.793594,7.520247,101.591690,179.287964,1.055418,5446.416233,88042.026439,7.134357,610575.312500,34794.949219,79062.898438,0.000000,0.729535,0.041574,16.165130
6.647679,64136.078125,9.793594,7.508508,101.627998,179.350403,1.055414,5450.292112,88104.680525,7.129278,610132.125000,34755.199219,79106.984375,1084653689655351312384.000000,0.728487,0.041497,16.165130
6.634877,64136.035156,9.793594,7.495728,101.667641,179.418823,1.055411,5454.526481,88173.129661,7.123738,609682.562500,34707.781250,79154.554688,0.000000,0.727385,0.041408,16.165130
6.622554,64135.976562,9.793593,7.483351,101.706093,179.485275,1.055407,5458.634724,88239.539937,7.118370,609324.750000,34674.691406,79199.835938,0.000000,0.726411,0.041338,16.165130
6.610402,64135.925781,9.793593,7.471063,101.744354,179.551514,1.055404,5462.724018,88305.643901,7.113035,608913.500000,34636.179688,79244.195312,0.000000,0.725378,0.041261,16.165130
6.597935,64135.871094,9.793593,7.458363,101.784012,179.620346,1.055400,5466.964809,88374.196846,7.107512,608458.125000,34592.132812,79289.585938,9.000000,0.724273,0.041176,16.165130
6.586487,64135.816406,9.793593,7.446631,101.820709,179.684067,1.055396,5470.888502,88437.623846,7.102408,608129.937500,34563.906250,79330.539062,0.000000,0.723363,0.041113,16.165130
6.575134,64135.761719,9.793593,7.434940,101.857346,179.747803,1.055393,5474.808882,88500.997302,7.097316,607847.375000,34533.339844,79370.578125,0.000000,0.722509,0.041048,16.165130
6.563812,64135.714844,9.793593,7.423210,101.894142,179.811905,1.055390,5478.747264,88564.661766,7.092209,607472.687500,34497.175781,79409.859375,0.000000,0.721545,0.040975,16.165130
6.552595,64135.660156,9.793593,7.411518,101.930870,179.875977,1.055386,5482.680282,88628.239515,7.087116,607147.687500,34462.078125,79448.250000,-7588156492966181197359265387380736000.000000,0.720641,0.040904,16.165130
6.541279,64135.613281,9.793593,7.399649,101.968170,179.941208,1.055383,5486.676277,88692.835288,7.081949,606780.937500,34426.234375,79486.687500,0.000000,0.719682,0.040832,16.165130
6.529653,64135.566406,9.793593,7.387398,102.006714,180.008728,1.055379,5490.806353,88759.598507,7.076617,606498.250000,34393.242188,79525.929688,0.000001,0.718805,0.040762,16.165130
6.518299,64135.511719,9.793593,7.375339,102.044708,180.075363,1.055376,5494.879431,88825.440335,7.071365,606043.187500,34353.515625,79564.109375,1084653689655351312384.000000,0.717734,0.040685,16.165130
6.506993,64135.457031,9.793593,7.363267,102.082779,180.142242,1.055372,5498.961604,88891.429188,7.066110,605761.812500,34322.925781,79601.867188,0.000000,0.716868,0.040618,16.165130
6.494724,64135.410156,9.793593,7.350091,102.124367,180.215530,1.055369,5503.423725,88963.559952,7.060375,605419.562500,34283.832031,79642.953125,0.000000,0.715882,0.040539,16.165130
6.483335,64135.351562,9.793593,7.337770,102.163322,180.284149,1.055365,5507.603839,89031.132051,7.055010,605000.062500,34249.335938,79680.593750,0.000000,0.714843,0.040468,16.165130
6.471961,64135.300781,9.793593,7.325399,102.202461,180.353210,1.055361,5511.805899,89099.058887,7.049626,604720.625000,34219.085938,79717.687500,0.000000,0.713968,0.040401,16.165130
6.460192,64135.246094,9.793593,7.312523,102.243240,180.425293,1.055358,5516.185917,89169.862458,7.044023,604391.750000,34184.390625,79755.570312,0.000000,0.713013,0.040328,16.165130
6.449135,64135.191406,9.793591,7.300354,102.281792,180.493484,1.055354,5520.327806,89236.816634,7.038729,604054.062500,34153.746094,79790.281250,0.000000,0.712080,0.040262,16.165130
6.438213,64135.136719,9.793591,7.288254,102.320175,180.561386,1.055351,5524.453735,89303.512807,7.033467,603691.062500,34119.812500,79823.890625,0.000000,0.711121,0.040192,16.165130
6.427064,64135.082031,9.793591,7.275850,102.359512,180.631119,1.055347,5528.683587,89371.888912,7.028079,603479.437500,34092.519531,79857.562500,-388077977600.000000,0.710327,0.040129,16.165130
6.416405,64135.027344,9.793591,7.263914,102.397385,180.698257,1.055344,5532.757369,89437.742135,7.022899,603098.750000,34059.089844,79889.078125,0.000000,0.709357,0.040060,16.165130
6.405752,64134.980469,9.793591,7.251907,102.435524,180.765945,1.055340,5536.861506,89504.086031,7.017688,602755.875000,34025.156250,79920.335938,-388077977600.000000,0.708428,0.039990,16.165130
6.395298,64134.925781,9.793591,7.240075,102.473137,180.832703,1.055337,5540.910220,89569.534025,7.012554,602537.062500,34000.304688,79950.601562,0.000000,0.707653,0.039932,16.165130
6.384876,64132.417969,9.793591,7.228214,102.510818,180.899719,1.055333,5544.968455,89635.135928,7.007148,602209.687500,33968.257812,79980.476562,0.000001,0.706751,0.039865,16.165130
6.374285,64134.824219,9.793591,7.216092,102.549339,180.968323,1.055330,5549.118361,89702.219691,7.002170,601918.875000,33936.277344,80010.796875,-13967753740288.000000,0.705881,0.039798,16.165130
6.363720,64134.769531,9.793591,7.203933,102.587997,181.037201,1.055326,5553.284673,89769.568666,6.996911,601624.562500,33906.890625,80040.953125,0.000000,0.705007,0.039733,16.165130
6.352791,64134.722656,9.793591,7.191302,102.628113,181.108810,1.055323,5557.609731,89839.483784,6.991461,601391.687500,33877.742188,80072.078125,0.000000,0.704186,0.039668,16.165130
6.342669,64134.660156,9.793591,7.179514,102.665588,181.175613,1.055320,5561.651704,89904.822808,6.986373,600978.500000,33844.675781,80100.453125,-0.000000,0.703191,0.039601,16.165130
6.331840,64134.613281,9.793591,7.166855,102.705826,181.247559,1.055316,5565.993220,89975.003982,6.980918,600772.500000,33816.015625,80130.601562,-31991734992896.000000,0.702401,0.039536,16.165130
6.321359,64134.558594,9.793591,7.154538,102.744965,181.317474,1.055313,5570.217921,90043.296828,6.975618,600491.500000,33789.171875,80159.125000,1084653689655351312384.000000,0.701540,0.039475,16.165130
6.311067,64134.503906,9.793591,7.142369,102.783615,181.386597,1.055309,5574.391248,90110.759198,6.970389,600161.000000,33757.218750,80186.562500,-0.000000,0.700629,0.039408,16.165130
6.300475,64134.457031,9.793591,7.129776,102.823624,181.458237,1.055305,5578.712853,90180.618508,6.964985,599869.937500,33726.277344,80214.468750,0.000000,0.699747,0.039342,16.165130
6.289297,64134.402344,9.793590,7.116438,102.865974,181.534195,1.055302,5583.290375,90254.614737,6.959268,599660.875000,33698.593750,80243.843750,0.000000,0.698929,0.039277,16.165130
6.278598,64134.347656,9.793590,7.103577,102.906799,181.607437,1.055298,5587.703419,90325.952170,6.953765,599264.750000,33665.093750,80271.523438,0.000000,0.697916,0.039207,16.165130
6.268772,64134.285156,9.793590,7.091698,102.944542,181.675049,1.055295,5591.785232,90391.935214,6.948683,598982.437500,33640.429688,80296.015625,1084653689655351312384.000000,0.697078,0.039150,16.165130
6.257792,64134.238281,9.793590,7.078372,102.986847,181.751083,1.055291,5596.363092,90465.936913,6.942993,598765.062500,33609.851562,80323.312500,80271.523438,0.696255,0.039082,16.165130
6.246985,64134.183594,9.793590,7.065166,103.028793,181.826492,1.055288,5600.903823,90539.338412,6.937359,598404.562500,33576.750000,80350.039062,0.000000,0.695272,0.039012,16.165130
6.235851,64134.128906,9.793590,7.051476,103.072311,181.904861,1.055284,5605.616061,90615.512358,6.931521,598089.312500,33544.273438,80377.617188,0.000000,0.694321,0.038942,16.165130
6.226102,64134.066406,9.793590,7.039436,103.110596,181.973618,1.055280,5609.762662,90682.542695,6.926391,597880.125000,33527.593750,80400.617188,80186.562500,0.693565,0.038893,16.165130
6.215226,64134.019531,9.793590,7.025935,103.153526,182.050949,1.055277,5614.415912,90757.763086,6.920645,597600.625000,33493.128906,80426.210938,80377.617188,0.692667,0.038821,16.165130
6.205007,64133.957031,9.793590,7.013175,103.194138,182.124023,1.055273,5618.818501,90828.931514,6.915216,597304.437500,33467.070312,80449.632812,1084653689655351312384.000000,0.691781,0.038761,16.165130
6.195136,64133.902344,9.793590,7.000791,103.233528,182.194946,1.055270,5623.090453,90897.988170,6.909956,597066.062500,33443.226562,80471.679688,0.000000,0.690980,0.038704,16.165130
6.185221,64133.847656,9.793590,6.988286,103.273323,182.266586,1.055266,5627.408717,90967.793467,6.904648,596803.562500,33415.585938,80493.500000,0.000000,0.690146,0.038642,16.165130
6.174299,64133.800781,9.793590,6.974440,103.317398,182.346161,1.055263,5632.194624,91045.158280,6.898776,596521.875000,33382.183594,80518.242188,0.000000,0.689234,0.038570,16.165130
6.164135,64133.738281,9.793590,6.961489,103.358620,182.420517,1.055259,5636.670052,91117.504153,6.893291,596279.875000,33360.191406,80541.007812,0.000000,0.688407,0.038514,16.165130
6.154587,64133.675781,9.793590,6.949247,103.397644,182.490784,1.055256,5640.909405,91186.033844,6.888104,595965.062500,33332.988281,80561.429688,0.000000,0.687527,0.038454,16.165130
6.145109,64133.628906,9.793590,6.937021,103.436653,182.561081,1.055253,5645.148672,91254.562154,6.882926,595691.125000,33305.855469,80581.140625,-5.404900,0.686695,0.038394,16.165130
6.135048,64133.574219,9.793588,6.924012,103.478142,182.636002,1.055249,5649.660271,91327.492730,6.877423,595565.437500,33284.183594,80602.109375,-0.000000,0.686001,0.038338,16.165130
6.125597,64133.519531,9.793588,6.911714,103.517433,182.706818,1.055246,5653.933633,91396.572189,6.872219,595256.937500,33258.007812,80621.515625,0.000000,0.685128,0.038279,16.165130
6.116284,64133.464844,9.793588,6.899536,103.556351,182.776978,1.055243,5658.168384,91465.027494,6.867070,595025.375000,33233.218750,80640.406250,0.000000,0.684349,0.038222,16.165130
6.106389,64133.417969,9.793588,6.886545,103.597855,182.852005,1.055239,5662.686808,91538.068393,6.861585,594829.312500,33208.265625,80660.601562,0.000000,0.683577,0.038163,16.165130
6.097234,64133.355469,9.793588,6.874476,103.636436,182.921616,1.055236,5666.887456,91605.972426,6.856492,594614.687500,33187.804688,80678.789062,0.000000,0.682824,0.038111,16.165130
6.087347,64133.308594,9.793588,6.861346,103.678459,182.997604,1.055233,5671.466730,91679.996985,6.850951,594274.562500,33152.843750,80698.687500,0.000000,0.681883,0.038040,16.165130
6.077951,64133.253906,9.793588,6.848816,103.718620,183.070145,1.055229,5675.842812,91750.736915,6.845663,594087.937500,33133.410156,80717.109375,0.000000,0.681143,0.037989,16.165130
6.068779,64133.199219,9.793588,6.836524,103.758049,183.141357,1.055226,5680.142300,91820.238699,6.840476,593858.000000,33110.207031,80734.531250,0.000000,0.680364,0.037933,16.165130
6.059471,64133.144531,9.793588,6.823973,103.798378,183.214249,1.055223,5684.540725,91891.339815,6.835177,593589.000000,33082.722656,80751.984375,36526796621509296128.000000,0.679529,0.037872,16.165130
6.050649,64133.089844,9.793588,6.812040,103.836784,183.283569,1.055220,5688.731461,91959.083602,6.830136,593453.000000,33066.562500,80767.984375,0.000000,0.678873,0.037826,16.165130
6.041446,64133.042969,9.793588,6.799530,103.877045,183.356400,1.055217,5693.126299,92030.126735,6.824858,593231.125000,33041.210938,80784.828125,0.000000,0.678096,0.037768,16.165130
6.031051,64132.996094,9.793588,6.785317,103.922874,183.439514,1.055213,5698.132269,92111.048880,6.818858,592960.750000,33007.710938,80805.132812,0.000000,0.677191,0.037696,16.165130
6.021528,64132.929688,9.793588,6.772213,103.965218,183.516174,1.055210,5702.757913,92185.823029,6.813320,592700.000000,32987.031250,80823.179688,38.666992,0.676344,0.037642,16.165130
6.012087,64132.871094,9.793588,6.759166,104.007477,183.592667,1.055206,5707.376854,92260.488803,6.807799,592525.062500,32966.105469,80839.937500,450.679688,0.675597,0.037588,16.165130
6.003106,64132.816406,9.793588,6.746669,104.048065,183.666077,1.055203,5711.814849,92332.229571,6.802504,592248.312500,32942.074219,80854.820312,0.000000,0.674757,0.037531,16.165130
5.994015,64132.761719,9.793588,6.733985,104.089325,183.740753,1.055200,5716.328297,92405.190043,6.797127,592155.187500,32925.773438,80869.687500,0.000000,0.674118,0.037483,16.165130
5.984189,64132.714844,9.793587,6.720196,104.134247,183.822235,1.055197,5721.245260,92484.673396,6.791280,591908.875000,32897.507812,80886.843750,0.000000,0.673259,0.037419,16.165130
5.975723,64132.644531,9.793587,6.708242,104.173279,183.892822,1.055193,5725.517516,92553.734966,6.786205,591674.562500,32879.957031,80900.742188,80869.687500,0.672490,0.037371,16.165130
5.966972,64132.597656,9.793587,6.695846,104.213844,183.966202,1.055190,5729.960632,92625.558517,6.780938,591548.125000,32861.574219,80914.781250,0.000000,0.671825,0.037321,16.165130
5.958742,64132.535156,9.793587,6.684143,104.252182,184.035492,1.055187,5734.161035,92693.458577,6.775964,591408.937500,32845.839844,80927.468750,80471.679688,0.671175,0.037276,16.165130
5.949913,64132.488281,9.793587,6.671512,104.293648,184.110596,1.055184,5738.706551,92766.937428,6.770592,591154.875000,32817.324219,80941.796875,-0.000000,0.670355,0.037214,16.165130
5.941165,64132.433594,9.793587,6.658929,104.335052,184.185593,1.055181,5743.247135,92840.336552,6.765233,590956.000000,32796.492188,80956.242188,0.000000,0.669600,0.037161,16.165130
5.932873,64129.894531,9.793587,6.646977,104.374458,184.256866,1.055178,5747.570001,92910.216254,6.759878,590885.500000,32784.757812,80969.210938,0.000000,0.669017,0.037120,16.165130
5.924258,64132.332031,9.793587,6.634475,104.415756,184.331680,1.055175,5752.102295,92983.481369,6.754808,590618.750000,32757.740234,80982.585938,-7509663567800049232818589524903854080.000000,0.668188,0.037060,16.165130
5.916096,64132.269531,9.793587,6.622579,104.455139,184.402985,1.055172,5756.425944,93053.373726,6.749728,590480.437500,32741.746094,80994.820312,89.324219,0.667529,0.037014,16.165130
5.907654,64132.222656,9.793587,6.610233,104.496109,184.477158,1.055169,5760.926180,93126.120612,6.744450,590356.062500,32723.845703,81007.484375,355.164062,0.666867,0.036965,16.165130
5.898443,64132.175781,9.793587,6.596689,104.541122,184.558914,1.055166,5765.872889,93206.084813,6.738659,590153.187500,32697.962891,81022.273438,0.000000,0.666066,0.036904,16.165130
5.890385,64132.105469,9.793587,6.584754,104.580948,184.631012,1.055163,5770.249850,93276.838954,6.733540,589905.437500,32679.830078,81033.968750,0.000000,0.665282,0.036856,16.165130
5.882263,64132.058594,9.793587,6.572673,104.621391,184.704239,1.055160,5774.697983,93348.743610,6.728348,589785.937500,32662.658203,81044.890625,0.000000,0.664635,0.036808,16.165130
5.874508,64132.003906,9.793587,6.561100,104.660233,184.774536,1.055157,5778.970884,93417.815611,6.723368,589700.375000,32650.365234,81055.203125,80994.820312,0.664047,0.036767,16.165130
5.866271,64131.957031,9.793587,6.548730,104.701859,184.850006,1.055154,5783.552344,93491.875501,6.718037,589492.437500,32626.232422,81066.937500,0.000000,0.663287,0.036710,16.165130
5.858563,64131.894531,9.793587,6.537102,104.741150,184.921097,1.055151,5787.878243,93561.804217,6.713009,589356.312500,32611.281250,81077.773438,0.000000,0.662638,0.036666,16.165130
5.850814,64131.847656,9.793587,6.525376,104.780869,184.993011,1.055148,5792.252983,93632.522460,6.707934,589290.062500,32598.375000,81088.375000,0.000000,0.662063,0.036624,16.165130
5.842882,64131.792969,9.793585,6.513318,104.821823,185.067230,1.055146,5796.766063,93705.476990,6.702705,589140.625000,32579.214844,81099.398438,0.000000,0.661380,0.036574,16.165130
5.834957,64131.738281,9.793585,6.501200,104.863121,185.142090,1.055143,5801.318876,93779.073797,6.697439,588972.000000,32559.990234,81110.281250,78660.296875,0.660672,0.036524,16.165130
5.827409,64131.683594,9.793585,6.489619,104.902710,185.213760,1.055140,5805.684955,93849.652038,6.692397,588891.187500,32548.324219,81119.953125,0.000000,0.660084,0.036483,16.165130
5.819439,64131.636719,9.793585,6.477348,104.944771,185.289993,1.055137,5810.325725,93924.670680,6.687046,588789.812500,32531.402344,81130.390625,0.000000,0.659444,0.036435,16.165130
5.812009,64131.574219,9.793585,6.465844,104.984322,185.361603,1.055134,5814.690285,93995.224371,6.682020,588630.937500,32515.566406,81139.781250,1084653689655351312384.000000,0.658771,0.036390,16.165130
